Temple,Address,City,State,Postal Code,Country,Phone
Pago Pago American Samoa Temple,Ottoville Road,Tafuna,Western District,96799,American Samoa,
Mendoza Argentina Temple,Avenida Champagnat,Las Heras,Mendoza,,Argentina,
Bahía Blanca Argentina Temple,Avenida Alberto Pedro Cabrera Aldea Romana,Bahia Blanca,,,Argentina,
Buenos Aires Argentina Temple,Autopista Richieri y Puente 13 Ciudad Evita,Buenos Aires,,B1778 DUA,Argentina,(+54) 11-4693-9700
Córdoba Argentina Temple,Avenida Pedro Simón Laplace 5637 Villa Belgrano,Córdoba,,,Argentina,(+54) 354-340-6200
Salta Argentina Temple,Ruta 51,Salta,,,Argentina,
Sydney Australia Temple,756 Pennant Hills Road (Corner of Pennant Hills Road and Moseley Street),Carlingford,New South Wales,2118,Australia,(+61) 2-9841-5471
Brisbane Australia Temple,200 River Terrace,Kangaroo Point,Queensland,4169,Australia,(+61) 7-3240-3600
Adelaide Australia Temple,53-59 Lower Portrush Road,Marden,South Australia,5070,Australia,(+61) 8-8363-8000
Melbourne Australia Temple,76 Cathies Lane,Wantirna South,Victoria,3152,Australia,(+61) 3-9881-9700
Perth Australia Temple,163-173 Wordsworth Avenue,Yokine,Western Australia,6060,Australia,(+61) 8-9276-0000
Cochabamba Bolivia Temple,Avenida Melchor Urquidi 1500 Alto Queru Queru,Cochabamba,Cochabamba,,Bolivia,(+591) 4-429-3161
Manaus Brazil Temple,Avenida Coronel Texeira 3162 Ponta Negra,Manaus,Amazonas,69037-000,Brazil,(+55) 92-3212-7270
Salvador Brazil Temple,Av. Luís Viana,Salvador,Bahia,,Brazil,
Fortaleza Brazil Temple,Avenida Santos Dumont 7771,Fortaleza,Ceará,60177-415,Brazil,(+55) 85-3533-7150
Brasília Brazil Temple,GA/Norte Quadra 612 ? Lote ,Brasília,Distrito Federal,,Brazil,
Belo Horizonte Brazil Temple,Rua Professor Jose Vieira de Mendonça Engenho Nogueira,Belo Horizonte,Minas Gerais,,Brazil,
Belém Brazil Temple,Av. Centenário Val de Caes,Belém,Pará,,Brazil,
Curitiba Brazil Temple,Rua Deputado Heitor Alencar Furtado 3641 Mossunguê,Curitiba,Paraná,81200-110,Brazil,(+55) 41-3204-6650
Recife Brazil Temple,Rua Dr. José de Góes 284 Parnamirim,Recife,Pernambuco,52060-380,Brazil,(+55) 81-2129-4300
Rio de Janeiro Brazil Temple,Avenida das Américas 8547 Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22621-120,Brazil,(+55) 21-3906-46
Porto Alegre Brazil Temple,Rua General Salvador Pinheiro 50 Vila Jardim,Porto Alegre,Rio Grande do Sul,91320-240,Brazil,(+55) 51-2104-2700
Campinas Brazil Temple,Rua James Esdras Faust 400 Notre Dame,Campinas,São Paulo,13092-820,Brazil,(+55) 19-2102-5800
São Paulo Brazil Temple,Avenida Professor Francisco Morato 2390 Caxingui,São Paulo,São Paulo,05512-900,Brazil,(+55) 11-3723-7600
Phnom Penh Cambodia Temple,Russian Confederation Street,Phnom Penh,,,Cambodia,
Calgary Alberta Temple,9802 Rocky Ridge Road NW,Calgary,Alberta,T3G 5J7,Canada,(+1) 403-241-4250
Cardston Alberta Temple,348 3rd Street West,Cardston,Alberta,T0K 0K0,Canada,(+1) 403-653-3552
Edmonton Alberta Temple,14325 53rd Avenue NW,Edmonton,Alberta,T6H 5G6,Canada,(+1) 780-434-7436
Vancouver British Columbia Temple,20370 82nd Avenue,Langley,British Columbia,V2Y 2A9,Canada,(+1) 604-513-5933
Winnipeg Manitoba Temple,15 Centre Street,Winnipeg,Manitoba,R3Y 2C3,Canada,(+1) 204-261-2200
Halifax Nova Scotia Temple,44 Cumberland Drive,Dartmouth,Nova Scotia,B2V 1P1,Canada,(+1) 902-434-6920
Toronto Ontario Temple,10060 Bramalea Road,Brampton,Ontario,L6R 1A1,Canada,(+1) 905-799-1122
Montreal Quebec Temple,1450 Boulevard Marie-Victorin,Longueuil,Quebec,J4G 1A4,Canada,(+1) 450-646-5775
Regina Saskatchewan Temple,111 Wascana Gate North,Regina,Saskatchewan,S4V 2J6,Canada,(+1) 306-545-8194
Praia Cape Verde Temple,Avenida Cidade de Lisboa Bairro Taiti,Praia,São Tiago,7600,Cape Verde,
Concepción Chile Temple,1525 Pedro de Valdivia,Concepción,Bío-Bío,,Chile,(+56) 41-383-4700
Santiago Chile Temple,Pocuro 1940 Providencia,Santiago,Región Metropolitana,664-1404,Chile,(+56) 22-340-5070
Antofagasta Chile Temple,Avenida de Las Palmeras 44,Antofagasta,,,Chile,
Barranquilla Colombia Temple,Carrera 30 No. 1-1481 Villa Campestre,Barranquilla,Atlántico,,Colombia,(+57) 5-310-0200
Bogotá Colombia Temple,Carrera 46 no. 127?45,Bogotá,Distrito,Capital,Colombia,(+57) 1-625-8000
Cali Colombia Temple,Calle 50 Norte and Avenida 4a Norte La Flora,Cali,,,Colombia,
San José Costa Rica Temple,Del Hotel Marriott 600 Metros Oeste La Ribera de Belén,Heredia,,40702,Costa Rica,(+506) 2293-6681
Abidjan Ivory Coast Temple,,Abidjan,,,Cote d'Ivoire,
Kinshasa Democratic Republic of the Congo Temple,Avenue de l'OUA Commune de Ngaliema,Kinshasa,,,Democratic Republic of the Congo,(+243) 815-590-060
Lubumbashi Democratic Republic of the Congo Temple,Av. Kashobwe,Lubumbashi,,,Democratic Republic of the Congo,
Copenhagen Denmark Temple,Priorvej 12,Frederiksberg,,DK-2000,Denmark,(+45) 38-18-1818
Santo Domingo Dominican Republic Temple,Avenida Bolivar no. 825 Los Robles,Santo Domingo,Distrito Nacional,10106,Dominican Republic,(+1) 809-731-2000
Guayaquil Ecuador Temple,Calle 6ta y Avenida Rodrigo Chávez González Principado de las Lomas,Urdesa Norte,Guayaquil,,Ecuador,(+593) 4-371-8100
Quito Ecuador Temple,Cumbayá,Quito,,,Ecuador,
San Salvador El Salvador Temple,Avenida El Espino y Calle El Pedregal Colonia San Benito,Antiguo Cuscatlán,La Libertad,,El Salvador,(+503) 2520-2631
Suva Fiji Temple,2-20 Lakeba Street,Samabula,Suva,,Fiji,(+679) 338-8952
Helsinki Finland Temple,Leppäsillantie 3,Espoo,,FI-02620,Finland,(+358) 9-849-3710
